name,parent
Node 55,Node 56
Node 54,Node 55
Haematoloechus abbreviatus,Node 54
Haematoloechus complexus,Node 54
Haematoloechus variegatus,Node 55
Node 58,Node 59
Node 57,Node 58
Haematoloechus longiplexus,Node 57
Haematoloechus macrorchis,Node 57
Haematoloechus asper,Node 58
Haematoloechus micrurus,Node 60
Haematoloechus exoterorchis,Node 61
Skrjabinoeces similis,Node 62
Glypthelmins quieta,Node 63
Node 64,Node 65
Haplometra cylindracea,Node 64
Plagiorchis vespertilionis,Node 64
Node 71,Node 72
Node 69,Node 71
Node 67,Node 69
Telorchis assula,Node 67
Node 66,Node 67
Cephalogonimus retusus,Node 66
Opisthioglyphe ranae,Node 66
Node 68,Node 69
Auridistomum chelydrae,Node 68
Macroderoides typicus,Node 68
Node 70,Node 71
Choanocotyle nematoides,Node 70
Choanocotyle hobbsi,Node 70
Brachycoelium salamandrae,Node 73
Rubenstrema exasperatum,Node 74
Node 88,Node 89
Node 82,Node 88
Node 81,Node 82
Node 78,Node 81
Node 77,Node 78
Node 76,Node 77
Brachylecithum lobatum,Node 76
Dicrocoelium dendriticum,Node 76
Lyperosomum collurionis,Node 77
Encyclometra colubrimurorum,Node 78
Node 80,Node 81
Prosthenhystera obesa,Node 80
Node 79,Node 80
Nagmia floridensis,Node 79
Degeneria halosauri,Node 79
Orchipedum tracheicola,Node 82
Node 87,Node 88
Node 84,Node 87
Node 83,Node 84
Pseudomegasolena ishigakiense,Node 83
Atractotrema sigani,Node 83
Hapladena nasonis,Node 84
Node 86,Node 87
Node 85,Node 86
Paragonimus westermani,Node 85
Paragonimus iloktsuenensis,Node 85
Nephrotrema truncatum,Node 86
Node 106,Node 107
Node 102,Node 106
Node 98,Node 102
Node 95,Node 98
Node 90,Node 95
Nasitrema globicephalae,Node 90
Zalophotrema hepaticum,Node 90
Node 94,Node 95
Node 93,Node 94
Node 92,Node 93
Node 91,Node 92
Pygidiopsis genata,Node 91
Paramphistomum epiclitum,Node 91
Orthosplanchnus fraterculus,Node 92
Oschmarinella rochebruni,Node 93
Campula oblonga,Node 94
Node 97,Node 98
Node 96,Node 97
Pleorchis uku,Node 96
Pleorchis polyorchis,Node 96
Tormopsolus orientalis,Node 97
Node 101,Node 102
Stephanostomum baccatum,Node 101
Node 100,Node 101
Node 99,Node 100
Stephanostomum minutum,Node 99
Stephanostomum pristis,Node 99
Stephanostomum tantabiddii,Node 100
Node 105,Node 106
Node 104,Node 105
Node 103,Node 104
Opistholebes amplicoelus,Node 103
Peracreadium idoneum,Node 103
Macvicaria macassarensis,Node 104
Gaevskajatrema halosauropsi,Node 105
Node 110,Node 111
Cableia pudica,Node 110
Node 109,Node 110
Node 108,Node 109
Diplomonorchis leiostomi,Node 108
Ancylocoelium typicum,Node 108
Provitellus turrum,Node 109
Node 115,Node 116
Node 112,Node 115
Koseiria xishaense,Node 112
Paragyliauchen arusettae,Node 112
Node 114,Node 115
Gorgocephalus kyphosi,Node 114
Node 113,Node 114
Preptetos trulla,Node 113
Preptetos caballeroi,Node 113
Node 132,Node 133
Node 128,Node 132
Node 125,Node 128
Node 119,Node 125
Node 118,Node 119
Amphimerus ovalis,Node 118
Node 117,Node 118
Clonorchis sinensis,Node 117
Opisthorchis viverrini,Node 117
Cryptocotyle lingua,Node 119
Node 124,Node 125
Node 123,Node 124
Node 120,Node 123
Metagonimus takahashii,Node 120
Metagonimus yokogawai,Node 120
Node 122,Node 123
Galactosomum lacteum,Node 122
Node 121,Node 122
Haplorchis pumilio,Node 121
Haplorchis taichui,Node 121
Centrocestus formosanus,Node 124
Node 127,Node 128
Node 126,Node 127
Siphodera vinaledwardsii,Node 126
Caecincola parvulus,Node 126
Mitotrema anthostomatum,Node 127
Node 131,Node 132
Schistorchis zancli,Node 131
Node 130,Node 131
Node 129,Node 130
Neoapocreadium splendens,Node 129
Homalometron synagris,Node 129
Homalometron armatum,Node 130
Node 139,Node 140
Node 138,Node 139
Node 136,Node 138
Node 135,Node 136
Node 134,Node 135
Fasciola gigantica,Node 134
Fasciola hepatica,Node 134
Euparyphium melis,Node 135
Echinostoma revolutum,Node 136
Node 137,Node 138
Cyclocoelum mutabile,Node 137
Cloacitrema narrabeenensis,Node 137
Psilochasmus oxyurus,Node 139
Hymenocotta mulli,Node 141
Node 148,Node 149
Node 142,Node 148
Diplodiscus subclavatus,Node 142
Neohexangitrema zebrasomatis,Node 142
Node 147,Node 148
Node 146,Node 147
Node 144,Node 146
Node 143,Node 144
Taprobanella bicaudata,Node 143
Rhabdiopoeus taylori,Node 143
Catatropis indicus,Node 144
Node 145,Node 146
Lankatrema mannarense,Node 145
Opisthotrema dujonis,Node 145
Macrovestibulum obtusicaudum,Node 147
Node 153,Node 154
Node 152,Node 153
Steringophorus margolisi,Node 152
Node 151,Node 152
Proctoeces maculatus,Node 151
Node 150,Node 151
Fellodistomum fellis,Node 150
Olssonium turneri,Node 150
Prosogonarium angelae,Node 153
Node 155,Node 156
Rhipidocotyle galeata,Node 155
Prosorhynchoides gracilescens,Node 155
Heronimus mollis,Node 157
Otodistomum cestoides,Node 160
Node 173,Node 174
Node 172,Node 173
Node 167,Node 172
Node 166,Node 167
Node 165,Node 166
Node 164,Node 165
Node 163,Node 164
Node 161,Node 163
Lecithochirium caesionis,Node 161
Plerurus digitatus,Node 161
Node 162,Node 163
Dinurus longisinus,Node 162
Lecithocladium excisum,Node 162
Merlucciotrema praeclarum,Node 164
Lecithaster gibbosus,Node 165
Lecithophyllum botryophorum,Node 166
Machidatrema chilostoma,Node 167
Node 171,Node 172
Node 170,Node 171
Node 169,Node 170
Node 168,Node 169
Derogenes varicus,Node 168
Copiatestes filiferus,Node 168
Prosogonotrema bilabiatum,Node 169
Didymozoon scombri,Node 170
Accacoelium contortum,Node 171
Hemiperina manteri,Node 173
Haematoloechus pulcher,Node 175
Enenterum aureum,Node 176
Synthesium tursionis,Node 177
Allocreadium lobatum,Node 178
Node 182,Node 183
Crepidostomum cooperi,Node 182
Node 181,Node 182
Node 180,Node 181
Node 179,Node 180
Bunodera inconstans,Node 179
Bunodera eucaliae,Node 179
Bunodera mediovitellata,Node 180
Bunodera luciopercae,Node 181
Fasciolopsis buski,Node 184
Schistosoma intercalatum,Node 185
